CourseDefinitionID,AbbrTitle,CourseCode,CourseFactor,EqCreditValue,ExtractToWeb,MaxEnrolments,MinEnrolments,Stage,StartDate,EndDate,CourseTitle,CostCategoryID,DeliveryModeID,EducationInstituteID,NZSCEDCategoryID,ProgrammeIDOwning,SourceOfFundingID,CourseDefinitionStatusID,CourseDefinitionSubstatusID,CourseDesc,OrgUnitIDOwning,IsThesisCourse
12,NULL,LAWS205,0.25,30,1,260,0,2,2005-01-01 00:00:00,NULL,Land Law,5,4,1,113,85,1,2,1,The history and principles of land law.,10073,0
13,NULL,LAWS206,0.25,30,1,260,0,2,2005-01-01 00:00:00,NULL,Public Law,5,4,1,107,85,1,2,1,"The principles and working of the constitution, the institutions of government, the exercise of public power and relations between the citizen and the state. Controls on the exercise of public power, including an introduction to judicial review.",10073,0
14,NULL,LAWS301,0.2667,32,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Equity and Succession,5,4,1,113,85,1,3,1,The principles of equity with particular reference to the law of trusts. The principles of the law of succession and of the administration of estates. Choses in action and their assignment.,10073,0
16,NULL,LAWS303,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Comparative Law,5,4,1,113,85,1,3,2,"The concepts, functions and aims of comparative law. An analysis of the essential features of Roman law. The Legal Families of the world. Analysis of specific areas of the law.",10073,0
17,NULL,LAWS304,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Natural Resource Law,5,4,1,113,85,1,3,1,"The role of law in environmental management; the statutory, common law, administrative and constitutional structures concerning environmental and resource management issues in New Zealand; the relevance of the Treaty of Waitangi; the Resource Management Act 1991; an examination of particular natural resource issues such as water use and pollution, mining, fisheries, forests and farmland management.",10073,0
18,NULL,LAWS310,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Administrative Law,5,4,1,114,85,1,3,1,A study of the legal control of governmental power.,10073,0
19,NULL,LAWS312,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Company Law and the Law of Partnership,5,4,1,106,85,1,3,1,The general principles of the law relating to companies and partnerships.,10073,0
20,NULL,LAWS315,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Criminology,5,4,1,113,85,1,3,1,"A study of crime and its causes. Law enforcement, the administration of criminal justice and the nature and purpose of the penal system.",10073,0
21,NULL,LAWS316,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Evidence,5,4,1,108,85,1,3,1,The principles of the law of evidence in civil and criminal cases.,10073,0
22,NULL,LAWS317,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Family Law,5,4,1,109,85,1,3,1,"The law and procedure relating to marriage, divorce and other matrimonial causes. The legal relation of husband and wife and of parent and child. Matrimonial property, maintenance and other domestic proceedings, adoption, guardianship, and paternity proceedings.",10073,0
23,NULL,LAWS318,0.1833,22,1,0,0,3,2005-01-01 00:00:00,2009-12-31 00:00:00,Employment Law,5,4,1,106,85,1,3,1,The law and procedure relating to individual employment law and collective employment law.,10073,0
24,NULL,LAWS320,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Special Topic: Bill of Rights,5,4,1,106,85,1,3,1,NULL,10073,0
25,NULL,LAWS321,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,International Criminal Law,5,4,1,106,85,1,3,1,International Criminal Law introduces students to the nature and cause of international and transnational crimes and to the mechanisms for the suppression and punishment of these crimes through international law.,10073,0
26,NULL,LAWS322,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,International Human Rights,5,4,1,106,85,1,3,1,An introduction to international human rights instruments and institutions.,10073,0
27,NULL,LAWS323,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Special Topic: Immigration and Refugee Law,5,4,1,106,85,1,3,1,An examination of selected domestic and international issues in immigration and refugee law.,10073,0
28,NULL,LAWS324,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Principles of Public International Law,5,4,1,110,85,1,3,1,"The principles of the laws of nations in peace, war and neutrality, and selected issues.",10073,0
